sr,arrival_time,departure_time,drop_off_type,pcikup_type,shape_dist_traveled,stop_id,stop_sequence,timepoint,trip_id
0,01:00:00,01:00:00,,,,STOP017,0,,SABANAS001005
1,01:00:00,01:00:00,,,,Centro1,1,0,SABANAS001005
